Session,AT,AT type,Device,Platform
request-UOCI-Rcll-2_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-4_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-5_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-6_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-7_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-8_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-9_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-10_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-11_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-Rcll-12_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-RGS-1_1.vtt,NVDA,Screen Reader,Laptop/Desktop,Windows
request-UOCI-RGS-2_1.vtt,OS Magnification,Screen magnification,Mobile,Android
request-UOCI-RGS-3_1.vtt,Dragon NaturallySpeaking,Alternative navigation,Laptop/Desktop,Windows
request-UOCI-RGS-4_1.vtt,ZoomText,Screen magnification,Laptop/Desktop,Windows
request-UOCI-RGS-5_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows
request-UOCI-RGS-7_1.vtt,Switch system,Alternative navigation,Mobile,iOS
request-UOCI-RGS-8_1.vtt,Voice Control,Alternative navigation,Mobile,iOS
request-UOCI-RGS-10_1.vtt,TalkBack,Screen Reader,Mobile,Android
request-UOCI-RGS-12_1.vtt,VoiceOver,Screen Reader,Laptop/Desktop,Mac
request-UOCI-RGS-14_1.vtt,On-screen keyboard,Alternative navigation,Laptop/Desktop,Windows
request-FBL-FSITAO-11_1.vtt,VoiceOver,Screen Reader,Laptop/Desktop,Mac
request-FBL-FSITAO-12_1.vtt,,Alternative navigation,Laptop/Desktop,Windows
request-FBL-FSITAO-14_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows
request-FBL-FSITAO-16_1.vtt,Voice Access,Alternative navigation,Laptop/Desktop,Windows
request-FBL-FSITAO-18_1.vtt,OS Magnification,Screen magnification,Laptop/Desktop,Windows
request-FBL-FUDEMO-1_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows
request-FBL-FUDEMO-2_1.vtt,OS Magnification,Screen magnification,Laptop/Desktop,Mac
request-FBL-FUDEMO-3_1.vtt,Dragon NaturallySpeaking,Alternative navigation,Laptop/Desktop,Windows
request-FBL-LCMJ2-1_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows
request-FBL-LCMJ2-2_1.vtt,OS Magnification,Screen magnification,Laptop/Desktop,Windows
request-FBL-LCMJ2-3_1.vtt,Dragon NaturallySpeaking,Alternative navigation,Laptop/Desktop,Windows
request-FBL-LUDF2-2_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows
request-FBL-LUDF2-3_1.vtt,Dragon NaturallySpeaking,Alternative navigation,Laptop/Desktop,Windows
request-FBL-LUDF2-4_1.vtt,ZoomText,Screen magnification,Laptop/Desktop,Windows
request-FBL-WD-81_1.vtt,Dragon NaturallySpeaking,Alternative navigation,Laptop/Desktop,Windows
request-FBL-WD-82_1.vtt,JAWS,Screen Reader,Laptop/Desktop,Windows